Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket,year,month,day,World_Population,USD_in_Circulation,Age_0_17,Age_17_64,Age_65_plus
2023-10-07,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,7,8.02528048124422,22.207688169413693,2.086572925123497,5.216432312808744,0.7222752433119798
2023-10-08,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,8,8.02548099965768,22.21109209174949,2.086625059910997,5.216562649777492,0.7222932899691911
2023-10-09,4.720000000000001,1.0,US Bonds,0.0129110146357112,4.720000000000001,4.322299999999999,1,2023,10,9,8.025681518071138,22.214496014085285,2.086677194698496,5.21669298674624,0.7223113366264025
2023-10-10,4.66,1.0,US Bonds,0.0125686578767383,4.66,4.3345,1,2023,10,10,8.025882036484598,22.21789993642108,2.0867293294859954,5.216823323714989,0.7223293832836137
2023-10-11,4.58,1.0,US Bonds,0.0131436469630747,4.58,4.3445,1,2023,10,11,8.026082554898057,22.22130385875688,2.086781464273495,5.216953660683737,0.7223474299408251
2023-10-12,4.7,1.0,US Bonds,0.0135999076410983,4.7,4.3545,1,2023,10,12,8.026283073311516,22.22470778109267,2.086833599060994,5.217083997652486,0.7223654765980364
2023-10-13,4.63,1.0,US Bonds,0.0136524635529031,4.63,4.3661,1,2023,10,13,8.026483591724975,22.228111703428464,2.0868857338484936,5.217214334621234,0.7223835232552478
2023-10-14,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,14,8.026684110138435,22.23151562576426,2.086937868635993,5.217344671589983,0.7224015699124591
2023-10-15,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,15,8.026884628551894,22.23491954810005,2.0869900034234927,5.217475008558731,0.7224196165696705
2023-10-16,4.71,1.0,US Bonds,0.0138226520032369,4.71,4.3785,1,2023,10,16,8.027085146965353,22.23832347043585,2.087042138210992,5.21760534552748,0.7224376632268817
2023-10-17,4.83,1.0,US Bonds,0.0143345741095001,4.83,4.3947,1,2023,10,17,8.027285665378812,22.241727392771644,2.087094272998492,5.217735682496229,0.7224557098840931
2023-10-18,4.91,1.0,US Bonds,0.0145038258361376,4.91,4.4129000000000005,1,2023,10,18,8.027486183792272,22.24513131510744,2.087146407785991,5.217866019464977,0.7224737565413044
2023-10-19,4.98,1.0,US Bonds,0.0144407527509942,4.98,4.4307,1,2023,10,19,8.027686702205731,22.248535237443235,2.08719854257349,5.2179963564337255,0.7224918031985158
2023-10-20,4.93,1.0,US Bonds,0.0146470607515997,4.93,4.4461,1,2023,10,20,8.02788722061919,22.251939159779027,2.0872506773609896,5.218126693402474,0.7225098498557271
2023-10-21,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,21,8.02808773903265,22.255343082114823,2.087302812148489,5.218257030371222,0.7225278965129385
2023-10-22,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,22,8.028288257446109,22.25874700445062,2.087354946935988,5.218387367339971,0.7225459431701498
2023-10-23,4.86,1.0,US Bonds,0.015051927376944,4.86,4.4595,1,2023,10,23,8.028488775859568,22.26215092678641,2.087407081723488,5.218517704308719,0.7225639898273611
2023-10-24,4.83,1.0,US Bonds,0.0150853535787246,4.83,4.4719,1,2023,10,24,8.028689294273027,22.26555484912221,2.0874592165109878,5.218648041277468,0.7225820364845724
2023-10-25,4.95,1.0,US Bonds,0.0154430869849883,4.95,4.4853000000000005,1,2023,10,25,8.028889812686486,22.268958771458003,2.0875113512984864,5.218778378246216,0.7226000831417838
2023-10-26,4.86,1.0,US Bonds,0.0159960237244592,4.86,4.4965,1,2023,10,26,8.029090331099944,22.2723626937938,2.087563486085985,5.218908715214964,0.722618129798995
2023-10-27,4.84,1.0,US Bonds,0.0160383130841932,4.84,4.5081,1,2023,10,27,8.029290849513403,22.275766616129594,2.087615620873485,5.219039052183712,0.7226361764562063
2023-10-28,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,28,8.029491367926862,22.279170538465387,2.087667755660984,5.21916938915246,0.7226542231134176
